target_image,pair_image,audio,stimulus_type,condition,sentence_template,target word onset (ms),group,speaker,expt practice
rollerskate.jpg,cow.jpg,practice1_N_sk.wav,practice,practice,NA,NA,practice,native,yes
glasses.jpg,bird2.jpg,practice2_N_sk.wav,practice,practice,NA,NA,practice,native,yes
rollerskate.jpg,cow.jpg,practice1_NN_sk.wav,practice,practice,NA,NA,practice,non-native,yes
glasses.jpg,bird2.jpg,practice2_NN_sk.wav,practice,practice,NA,NA,practice,non-native,yes
toothbrush.jpg,bench.jpg,T_1_LFF_A_N_sk.wav,target,LFF,1F,674,groupA,native,NA
blimp.jpg,shoe.jpg,T_2_LFF_A_N_sk.wav,target,LFF,2F,606,groupA,native,NA
globe.jpg,chair.jpg,T_3_LFF_A_N_sk.wav,target,LFF,3F,621,groupA,native,NA
funnel.jpg,star.jpg,T_4_LFF_A_N_sk.wav,target,LFF,1F,674,groupA,native,NA
unicorn.jpg,telephone.jpg,T_5_LFF_A_N_sk.wav,target,LFF,2F,606,groupA,native,NA
cactus.jpg,tooth.jpg,T_6_LFF_A_N_sk.wav,target,LFF,3F,621,groupA,native,NA
earring.jpg,ball.jpg,T_7_LFF_A_N_sk.wav,target,LFF,1F,674,groupA,native,NA
palmtree.jpg,flower.jpg,T_8_LFF_A_N_sk.wav,target,LFF,2F,606,groupA,native,NA
highchair.jpg,table.jpg,T_1_LFD_A_N_sk.wav,target,LFD,1D,2005,groupA,native,NA
sewingmachine.jpg,factory.jpg,T_2_LFD_A_N_sk.wav,target,LFD,2D,2062,groupA,native,NA
wheelbarrow.jpg,stairs.jpg,T_3_LFD_A_N_sk.wav,target,LFD,3D,2138,groupA,native,NA
igloo.jpg,rain.jpg,T_4_LFD_A_N_sk.wav,target,LFD,1D,2005,groupA,native,NA
swing.jpg,wall.jpg,T_5_LFD_A_N_sk.wav,target,LFD,2D,2062,groupA,native,NA
pineapple.jpg,bridge.jpg,T_6_LFD_A_N_sk.wav,target,LFD,3D,2138,groupA,native,NA
typewriter.jpg,cigarette.jpg,T_7_LFD_A_N_sk.wav,target,LFD,1D,2005,groupA,native,NA
vacuum.jpg,king.jpg,T_8_LFD_A_N_sk.wav,target,LFD,2D,2062,groupA,native,NA
bottle.jpg,saw.jpg,T_1_HFF_A_N_sk.wav,target,HFF,1F,674,groupA,native,NA
sun.jpg,harp.jpg,T_2_HFF_A_N_sk.wav,target,HFF,2F,606,groupA,native,NA
moon.jpg,fan.jpg,T_3_HFF_A_N_sk.wav,target,HFF,3F,621,groupA,native,NA
car.jpg,alligator.jpg,T_4_HFF_A_N_sk.wav,target,HFF,1F,674,groupA,native,NA
baby.jpg,rhinoceros.jpg,T_5_HFF_A_N_sk.wav,target,HFF,2F,606,groupA,native,NA
bus.jpg,snowman.jpg,T_6_HFF_A_N_sk.wav,target,HFF,3F,621,groupA,native,NA
arm.jpg,ostrich.jpg,T_7_HFF_A_N_sk.wav,target,HFF,2F,606,groupA,native,NA
train.jpg,pumpkin.jpg,T_8_HFF_A_N_sk.wav,target,HFF,3F,621,groupA,native,NA
dog.jpg,hose.jpg,T_1_HFD_A_N_sk.wav,target,HFD,1D,2005,groupA,native,NA
church.jpg,snail.jpg,T_2_HFD_A_N_sk.wav,target,HFD,2D,2062,groupA,native,NA
nose.jpg,wateringcan.jpg,T_3_HFD_A_N_sk.wav,target,HFD,3D,2138,groupA,native,NA
door.jpg,strawberry.jpg,T_4_HFD_A_N_sk.wav,target,HFD,1D,2005,groupA,native,NA
fish.jpg,dolphin.jpg,T_5_HFD_A_N_sk.wav,target,HFD,2D,2062,groupA,native,NA
hand.jpg,bat.jpg,T_6_HFD_A_N_sk.wav,target,HFD,3D,2138,groupA,native,NA
eye.jpg,puzzle.jpg,T_7_HFD_A_N_sk.wav,target,HFD,2D,2062,groupA,native,NA
tree.jpg,dinosaur.jpg,T_8_HFD_A_N_sk.wav,target,HFD,3D,2138,groupA,native,NA
raccoon.jpg,smoke.jpg,F_1_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA
jumprope.jpg,house.jpg,F_2_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA
radish.jpg,bread.jpg,F_3_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA
pick.jpg,bride.jpg,F_4_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA
pencilsharpener.jpg,bird.jpg,F_5_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA
