target_image,pair_image,audio,stimulus_type,condition,sentence_template,target_onset,group,speaker,expt_practice,audio_duration
rollerskate.jpg,cow.jpg,practice1_N_sk.wav,practice,practice,NA,NA,practice,native,yes,3697
glasses.jpg,bird2.jpg,practice2_N_sk.wav,practice,practice,NA,NA,practice,native,yes,2871
rollerskate.jpg,cow.jpg,practice1_NN_sk.wav,practice,practice,NA,NA,practice,non-native,yes,4667
glasses.jpg,bird2.jpg,practice2_NN_sk.wav,practice,practice,NA,NA,practice,non-native,yes,3581
toothbrush.jpg,bench.jpg,T_1_LFF_A_N_sk.wav,target,LFF,1F,2174,groupA,native,NA,3199
blimp.jpg,shoe.jpg,T_2_LFF_A_N_sk.wav,target,LFF,2F,2106,groupA,native,NA,3102
globe.jpg,chair.jpg,T_3_LFF_A_N_sk.wav,target,LFF,3F,2121,groupA,native,NA,2788
funnel.jpg,star.jpg,T_4_LFF_A_N_sk.wav,target,LFF,1F,2174,groupA,native,NA,2760
unicorn.jpg,telephone.jpg,T_5_LFF_A_N_sk.wav,target,LFF,2F,2106,groupA,native,NA,2998
cactus.jpg,tooth.jpg,T_6_LFF_A_N_sk.wav,target,LFF,3F,2121,groupA,native,NA,2876
earring.jpg,ball.jpg,T_7_LFF_A_N_sk.wav,target,LFF,1F,2174,groupA,native,NA,3102
palmtree.jpg,flower.jpg,T_8_LFF_A_N_sk.wav,target,LFF,2F,2106,groupA,native,NA,2776
highchair.jpg,table.jpg,T_1_LFD_A_N_sk.wav,target,LFD,1D,3505,groupA,native,NA,4904
sewingmachine.jpg,factory.jpg,T_2_LFD_A_N_sk.wav,target,LFD,2D,3562,groupA,native,NA,4629
wheelbarrow.jpg,stairs.jpg,T_3_LFD_A_N_sk.wav,target,LFD,3D,3638,groupA,native,NA,4393
igloo.jpg,rain.jpg,T_4_LFD_A_N_sk.wav,target,LFD,1D,3505,groupA,native,NA,4075
swing.jpg,wall.jpg,T_5_LFD_A_N_sk.wav,target,LFD,2D,3562,groupA,native,NA,4470
pineapple.jpg,bridge.jpg,T_6_LFD_A_N_sk.wav,target,LFD,3D,3638,groupA,native,NA,4427
typewriter.jpg,cigarette.jpg,T_7_LFD_A_N_sk.wav,target,LFD,1D,3505,groupA,native,NA,4679
vacuum.jpg,king.jpg,T_8_LFD_A_N_sk.wav,target,LFD,2D,3562,groupA,native,NA,4495
bottle.jpg,saw.jpg,T_1_HFF_A_N_sk.wav,target,HFF,1F,2174,groupA,native,NA,2700
sun.jpg,harp.jpg,T_2_HFF_A_N_sk.wav,target,HFF,2F,2106,groupA,native,NA,2808
moon.jpg,fan.jpg,T_3_HFF_A_N_sk.wav,target,HFF,3F,2121,groupA,native,NA,2833
car.jpg,alligator.jpg,T_4_HFF_A_N_sk.wav,target,HFF,1F,2174,groupA,native,NA,2729
baby.jpg,rhinoceros.jpg,T_5_HFF_A_N_sk.wav,target,HFF,2F,2106,groupA,native,NA,2946
bus.jpg,snowman.jpg,T_6_HFF_A_N_sk.wav,target,HFF,3F,2121,groupA,native,NA,2944
arm.jpg,ostrich.jpg,T_7_HFF_A_N_sk.wav,target,HFF,2F,2106,groupA,native,NA,2564
train.jpg,pumpkin.jpg,T_8_HFF_A_N_sk.wav,target,HFF,3F,2121,groupA,native,NA,2789
dog.jpg,hose.jpg,T_1_HFD_A_N_sk.wav,target,HFD,1D,3505,groupA,native,NA,4011
church.jpg,snail.jpg,T_2_HFD_A_N_sk.wav,target,HFD,2D,3562,groupA,native,NA,4205
nose.jpg,wateringcan.jpg,T_3_HFD_A_N_sk.wav,target,HFD,3D,3638,groupA,native,NA,4307
door.jpg,strawberry.jpg,T_4_HFD_A_N_sk.wav,target,HFD,1D,3505,groupA,native,NA,4152
fish.jpg,dolphin.jpg,T_5_HFD_A_N_sk.wav,target,HFD,2D,3562,groupA,native,NA,4213
hand.jpg,bat.jpg,T_6_HFD_A_N_sk.wav,target,HFD,3D,3638,groupA,native,NA,4149
eye.jpg,puzzle.jpg,T_7_HFD_A_N_sk.wav,target,HFD,2D,3562,groupA,native,NA,4087
tree.jpg,dinosaur.jpg,T_8_HFD_A_N_sk.wav,target,HFD,3D,3638,groupA,native,NA,4448
raccoon.jpg,smoke.jpg,F_1_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,304018
jumprope.jpg,house.jpg,F_2_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4566
radish.jpg,bread.jpg,F_3_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,5560
pick.jpg,bride.jpg,F_4_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,3943
pencilsharpener.jpg,bird.jpg,F_5_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4578
tripod.jpg,ear.jpg,F_6_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4800
seahorse.jpg,paper.jpg,F_7_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4705
ladle.jpg,butter.jpg,F_8_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4241
firehydrant.jpg,doctor.jpg,F_9_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4528
kangaroo.jpg,wood.jpg,F_10_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,5093
crib.jpg,road.jpg,F_11_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4505
leopard.jpg,priest.jpg,F_12_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4528
ladybug.jpg,suitcase.jpg,F_13_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4154
drill.jpg,neck.jpg,F_14_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4042
brush.jpg,rose.jpg,F_15_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,4578
walrus.jpg,net.jpg,F_16_LFD_N_sk.wav,filler,LFD,original,NA,groupA,native,NA,3656
wine.jpg,penguin.jpg,F_1_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2521
hat.jpg,peach.jpg,F_2_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2722
cheese.jpg,butterfly.jpg,F_3_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2461
floor.jpg,thimble.jpg,F_4_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2692
man.jpg,beaver.jpg,F_5_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2480
city.jpg,flute.jpg,F_6_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2506
bar.jpg,artichoke.jpg,F_7_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2529
